category,idiklan,url,price,title,dilihat,place,device
Baru,396667833        			,http://olx.co.id/iklan/program-kasir-lengkap-support-komputer-kasir-terbaru-dan-jenis-lama-IDqQnqh.html,1.500.000,"Program Kasir Lengkap, support Komputer kasir terbaru dan jenis lama",5,"Denpasar Kota, Bali",via HP
Bekas,396830338        			,http://olx.co.id/iklan/laptop-dm3-vga-ati-memory-4gb-IDqR3Hk.html,1.600.000,Laptop dm3 vga ati memory 4gb,15,"Bogor Kota, Jawa Barat",via HP
Bekas,396830408        			,http://olx.co.id/iklan/mg-2570-modif-prin-scan-copy-hasil-kayak-baru-IDqR3Is.html,575.000,Mg 2570 modif prin scan copy hasil kayak baru,5,"Gresik Kab. , Jawa Timur",via HP
Bekas,396828339        			,http://olx.co.id/iklan/showcase-minuman-dingin-IDqR3b5.html,1.800.000,Showcase minuman dingin,2,"Jakarta Barat, Jakarta D.K.I.",via HP
Bekas,396827863        			,http://olx.co.id/iklan/panasonic-1pk-standart-mulus-banget-IDqR33p.html,1.650.000,Panasonic 1pk standart Mulus banget,3,"Jakarta Barat, Jakarta D.K.I.",via HP
Baru,396667543        			,http://olx.co.id/iklan/kredit-ac-sharp-bunga-ringan-proses-cepat-IDqQnlB.html,3.500.000,KREDIT AC Sharp Bunga Ringan proses cepat,4,"Medan Kota, Sumatra Utara",via HP
Baru,396672493        			,http://olx.co.id/iklan/casing-komputer-gaming-transparan-IDqQoDr.html,350.000,Casing komputer gaming transparan,12,"Jakarta Barat, Jakarta D.K.I.",via HP
Baru,396828119        			,http://olx.co.id/iklan/kipas-angin-cosmos-ungu-16-in-IDqR37x.html,295.000,Kipas angin cosmos ungu 16 in,5,"Banjarmasin Kota, Kalimantan Selatan",via HP
Baru,396829819        			,http://olx.co.id/iklan/promo-kulkas-lg-2pt-bisa-kredit-civil-di-handal-grosir-IDqR3yX.html,3.250.000,Promo kulkas LG 2pt bisa Kredit civil Di Handal grosir,2,"Tangerang Selatan Kota, Banten",via HP
Baru,396663564        			,http://olx.co.id/iklan/panasonoc-washing-machine-bisa-kredit-proses-mudah-IDqQmjq.html,2.459.000,PANASONOC washing Machine Bisa Kredit Proses Mudah,5,"Jakarta Timur, Jakarta D.K.I.",via HP
Baru,396830209        			,http://olx.co.id/iklan/mesin-pengering-electrolux-IDqR3Ff.html,6.000.000,Mesin pengering electrolux,4,"Tangerang Selatan Kota, Banten",via HP
Bekas,396830298        			,http://olx.co.id/iklan/jual-ac-seken-semua-merek-siap-pasang-geransi-IDqR3GG.html,1.400.000,Jual ac seken semua merek.. siap pasang geransi,4,"Aceh Utara Kab., Aceh D.I.",via HP
Bekas,396825494        			,http://olx.co.id/iklan/2-buah-cabang-tiga-colokan-IDqR2rc.html,50.000,2 Buah Cabang Tiga Colokan,4,"Tangerang Selatan Kota, Banten",via HP
Bekas,396831623        			,http://olx.co.id/iklan/stavol-stavolt-kenika-600-va-normal-IDqR423.html,220.000,Stavol / stavolt Kenika 600 va  normal,1,"Surabaya Kota, Jawa Timur",via HP
Baru,396641503        			,http://olx.co.id/iklan/di-jual-alat-untuk-sentrum-ikan-IDqQgzB.html,350.000,Di jual alat untuk sentrum ikan,4,"Pekanbaru Kota, Riau",via HP
Bekas,396825648        			,http://olx.co.id/iklan/ac-samaung-1-2-pk-biaa-dicicil-tanpa-kartu-kredit-bunga-0-IDqR2tG.html,2.999.000,Ac samaung 1/2 pk biaa dicicil tanpa kartu kredit bunga 0%,4,"Jakarta Barat, Jakarta D.K.I.",via HP
Baru,396821608        			,http://olx.co.id/iklan/peralatan-listrik-IDqR1qv.html,65.000,Peralatan listrik,15,"Banjarbaru Kota, Kalimantan Selatan",via HP
Bekas,396826598        			,http://olx.co.id/iklan/dijual-cepat-kulkas-dua-pintu-IDqR2J0.html,1.000.000,Dijual cepat  kulkas dua pintu,18,"Banjarmasin Kota, Kalimantan Selatan",via HP
Baru,396825973        			,http://olx.co.id/iklan/kipas-angin-miyako-16-in-stand-fan-IDqR2yW.html,285.000,Kipas angin miyako 16 in stand fan,6,"Banjarmasin Kota, Kalimantan Selatan",via HP
Bekas,396821954        			,http://olx.co.id/iklan/ac-samsung-3-4-pk-daya-430-irit-IDqR1v6.html,1.100.000,Ac samsung 3/4 pk.daya 430  irit,16,"Medan Kota, Sumatra Utara",via HP
Bekas,396822398        			,http://olx.co.id/iklan/jual-kipas-angin-miyako-IDqR1Dg.html,120.000,Jual kipas angin miyako,7,"Jakarta Pusat, Jakarta D.K.I.",via HP
Baru,396823028        			,http://olx.co.id/iklan/mesin-cuci-kapasitas-2-kg-praktis-IDqR1Nq.html,550.000,Mesin Cuci kapasitas 2 KG praktis,7,"Pekanbaru Kota, Riau",via HP
Bekas,396822884        			,http://olx.co.id/iklan/lemari-es-sharp-IDqR1L6.html,600.000,Lemari es SHARP,8,"Tangerang Kota, Banten",via HP
Bekas,396823214        			,http://olx.co.id/iklan/showcase-frigate-3-rak-IDqR1Qq.html,1.800.000,Showcase frigate 3 Rak,8,"Jakarta Selatan, Jakarta D.K.I.",via HP
Bekas,396823508        			,http://olx.co.id/iklan/dijual-cepat-kulkass-IDqR1Wa.html,1.000.000,Dijual cepat kulkass,13,"Banjarmasin Kota, Kalimantan Selatan",via HP
Bekas,396822473        			,http://olx.co.id/iklan/magic-com-miyako-normal-IDqR1Et.html,100.000,Magic com miyako normal,4,"Malang Kota, Jawa Timur",via HP
Bekas,396823574        			,http://olx.co.id/iklan/kulkas-merk-sanyo-aqua-IDqR1Ve.html,1.500.000,Kulkas merk sanyo aqua,8,"Bandar Lampung Kota, Lampung",via HP
Bekas,396670439        			,http://olx.co.id/iklan/di-jual-ac-merk-lg-1-2-pk-low-watt-230-watt-berikut-pasang-bergaransi-IDqQo6j.html,1.800.000,Di jual ac merk LG 1/2 pk low watt 230 watt berikut pasang bergaransi,5,"Bogor Kota, Jawa Barat",via HP
Bekas,396823729        			,http://olx.co.id/iklan/kulkas-lg-2-pintu-IDqR1YJ.html,1.100.000,Kulkas LG 2 pintu,14,"Batam Kota, Kepulauan Riau",via HP
Bekas,396823569        			,http://olx.co.id/iklan/promo-ac-panasonic-yn5sjk-bisa-cicil-kredit-di-agen-elektronik-serpong-IDqR1V9.html,3.050.000,Promo ac panasonic yn5sjk bisa cicil kredit di agen elektronik Serpong,6,"Tangerang Selatan Kota, Banten",via HP
Bekas,396824639        			,http://olx.co.id/iklan/dijual-mesin-cuci-denpo-IDqR2dp.html,550.000,Dijual mesin cuci denpo,20,"Jakarta Timur, Jakarta D.K.I.",via HP
Bekas,396826724        			,http://olx.co.id/iklan/ac-sharp-ion-plasmacluster-IDqR2L2.html,1.400.000,Ac Sharp ion plasmacluster,2,"Depok Kota, Jawa Barat",via HP
Baru,396826898        			,http://olx.co.id/iklan/kipas-angin-cosmos-16-in-stand-fan-garansi-5-tahun-IDqR2NQ.html,295.000,Kipas angin cosmos 16 in stand fan garansi 5 tahun,7,"Banjarmasin Kota, Kalimantan Selatan",via HP
Bekas,396828699        			,http://olx.co.id/iklan/spiker-merek-avino-IDqR3gT.html,2.400.000,Spiker merek avino,5,"Makassar Kota, Sulawesi Selatan",via HP
Baru,396828654        			,http://olx.co.id/iklan/outdoor-speaker-bluetooth-jabees-IDqR3ga.html,350.000,Outdoor Speaker Bluetooth Jabees,5,"Bandar Lampung Kota, Lampung",via HP
Bekas,396828033        			,http://olx.co.id/iklan/toshiba-jadul-25in-gambar-ok-IDqR369.html,400.000,Toshiba jadul 25'in gambar ok.,11,"Medan Kota, Sumatra Utara",via HP
